time,ax,ay,az,wx,wy,wz,participant,label,type
0 days 00:00:00.700000,-0.01,-0.01,0.2,0.0,0.0,0.0,Ali,1,0
0 days 00:00:00.701000,0.01,0.01,0.17,0.0,0.0,0.0,Ali,1,0
0 days 00:00:00.702000,0.01,0.01,0.17,0.0,0.0,0.0,Ali,1,0
0 days 00:00:00.704000,0.01,0.01,0.17,0.0,0.0,0.0,Ali,1,0
0 days 00:00:00.707000,0.01,0.01,0.17,0.0,-0.01,0.0,Ali,1,0
0 days 00:00:00.708000,0.01,-0.01,0.17,0.0,0.0,0.0,Ali,1,0
0 days 00:00:00.709000,0.01,-0.01,0.17,0.0,0.0,0.0,Ali,1,0
0 days 00:00:00.713000,0.01,-0.01,0.17,0.0,0.0,0.0,Ali,1,0
0 days 00:00:00.719000,0.01,-0.01,0.17,0.0,0.0,0.0,Ali,1,0
0 days 00:00:00.731000,0.01,-0.01,0.17,0.0,0.0,0.0,Ali,1,0
0 days 00:00:00.732000,0.01,-0.01,0.17,0.0,-0.01,0.0,Ali,1,0
0 days 00:00:00.733000,-0.03,-0.02,0.22,0.0,0.0,0.0,Ali,1,0
0 days 00:00:00.734000,-0.03,-0.02,0.22,0.0,0.0,0.0,Ali,1,0
0 days 00:00:00.737000,-0.03,-0.02,0.22,0.0,0.0,0.0,Ali,1,0
0 days 00:00:00.738000,-0.03,-0.02,0.22,0.0,0.0,0.0,Ali,1,0
0 days 00:00:00.740000,-0.03,-0.02,0.22,0.0,0.0,0.0,Ali,1,0
0 days 00:00:00.742000,-0.03,-0.02,0.22,0.0,0.0,0.0,Ali,1,0
0 days 00:00:00.744000,-0.03,-0.02,0.22,0.0,0.0,0.0,Ali,1,0
0 days 00:00:00.747000,-0.03,-0.02,0.22,0.0,0.0,0.0,Ali,1,0
0 days 00:00:00.750000,-0.02,0.0,0.2,0.0,0.0,0.0,Ali,1,0
0 days 00:00:00.751000,-0.02,0.0,0.2,0.0,0.0,0.0,Ali,1,0
0 days 00:00:00.752000,-0.02,0.0,0.2,0.0,0.0,0.0,Ali,1,0
0 days 00:00:00.753000,-0.02,0.0,0.2,0.0,0.0,0.0,Ali,1,0
0 days 00:00:00.770000,-0.02,0.0,0.2,0.0,0.0,0.0,Ali,1,0
0 days 00:00:00.771000,-0.02,0.0,0.2,0.0,0.0,0.0,Ali,1,0
0 days 00:00:00.772000,-0.02,0.0,0.2,0.0,0.0,0.0,Ali,1,0
0 days 00:00:00.773000,-0.02,0.0,0.2,0.0,0.0,0.0,Ali,1,0
0 days 00:00:00.774000,0.03,0.0,0.24,0.0,0.0,0.0,Ali,1,0
0 days 00:00:00.778000,0.03,0.0,0.24,0.0,0.0,0.0,Ali,1,0
0 days 00:00:00.779000,0.01,0.0,0.16,0.0,0.0,0.0,Ali,1,0
0 days 00:00:00.781000,0.01,0.0,0.16,0.0,0.01,0.0,Ali,1,0
0 days 00:00:00.785000,0.01,0.0,0.16,0.0,0.0,0.0,Ali,1,0
0 days 00:00:00.787000,0.01,0.0,0.16,0.0,0.0,0.0,Ali,1,0
0 days 00:00:00.788000,0.01,-0.01,0.18,0.0,0.0,0.0,Ali,1,0
0 days 00:00:00.790000,0.01,-0.01,0.18,0.0,0.0,0.0,Ali,1,0
0 days 00:00:00.791000,0.01,-0.01,0.18,0.0,0.0,0.0,Ali,1,0
0 days 00:00:00.793000,0.01,-0.01,0.18,0.0,0.0,0.0,Ali,1,0
0 days 00:00:00.809000,0.01,-0.01,0.18,0.0,0.0,0.0,Ali,1,0
0 days 00:00:00.820000,0.01,-0.01,0.18,0.0,0.0,0.0,Ali,1,0
0 days 00:00:00.821000,0.01,-0.01,0.18,0.0,0.0,0.0,Ali,1,0
0 days 00:00:00.822000,0.01,-0.02,0.23,0.0,-0.01,0.0,Ali,1,0
0 days 00:00:00.823000,0.01,-0.02,0.23,0.0,0.0,0.0,Ali,1,0
0 days 00:00:00.824000,0.01,-0.03,0.2,0.0,-0.01,0.0,Ali,1,0
0 days 00:00:00.829000,0.01,-0.03,0.2,0.0,-0.01,0.0,Ali,1,0
0 days 00:00:00.830000,0.04,-0.02,0.21,0.0,-0.01,0.0,Ali,1,0
0 days 00:00:00.833000,0.04,-0.02,0.21,0.0,0.0,0.0,Ali,1,0
0 days 00:00:00.850000,0.04,-0.02,0.21,0.0,0.0,0.0,Ali,1,0
0 days 00:00:00.851000,0.04,-0.02,0.21,0.0,0.0,0.0,Ali,1,0
0 days 00:00:00.852000,0.04,-0.02,0.21,0.0,0.0,0.0,Ali,1,0
0 days 00:00:00.854000,0.04,-0.02,0.21,0.0,0.0,0.0,Ali,1,0
0 days 00:00:00.857000,0.04,-0.02,0.21,0.0,0.0,0.0,Ali,1,0
0 days 00:00:00.859000,0.03,-0.02,0.24,0.0,0.0,0.0,Ali,1,0
0 days 00:00:00.862000,0.03,-0.02,0.24,0.0,0.0,0.0,Ali,1,0
0 days 00:00:00.863000,0.03,-0.02,0.24,0.0,0.0,0.0,Ali,1,0
0 days 00:00:00.868000,0.03,-0.02,0.24,0.0,0.01,0.0,Ali,1,0
0 days 00:00:00.870000,0.02,0.0,0.18,0.0,0.0,0.0,Ali,1,0
0 days 00:00:00.872000,0.02,0.0,0.18,0.0,0.01,0.0,Ali,1,0
0 days 00:00:00.873000,0.02,0.0,0.18,0.0,0.0,0.0,Ali,1,0
0 days 00:00:00.889000,0.02,0.0,0.18,0.0,0.0,0.0,Ali,1,0
0 days 00:00:00.890000,0.02,0.0,0.18,0.0,0.0,0.0,Ali,1,0
